기온분석
[검색조건]
자료구분 : 일
지역/지점 : 양평
기간 : 20130101~20151231

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2014-10-25,202,11.9,8.5,19
2014-10-26,202,13.5,8.5,19
2014-10-27,202,11,4.6,18.3
2014-10-28,202,7.6,0.3,18.3
2014-10-29,202,8.7,1.7,19
2014-10-30,202,11.1,3.3,19.9
2014-10-31,202,12.1,9.5,14.8
2014-11-01,202,14.5,12.7,18.1
2014-11-02,202,11.7,7.9,15.3
2014-11-03,202,7.8,1.7,14.1
2014-11-04,202,7.5,-0.1,17
2014-11-05,202,8.5,1.9,17
2014-11-06,202,11.2,6.8,18.4
2014-11-07,202,7.9,1.4,16.7
2014-11-08,202,8.9,4.7,15.4
2014-11-09,202,8.2,2.9,15.9
2014-11-10,202,6.1,-1.2,16.6
2014-11-11,202,6.5,-0.9,14.8
2014-11-12,202,6.7,0.1,10.7
2014-11-13,202,0.3,-2.4,4.2
2014-11-14,202,2.9,-3,9.9
2014-11-15,202,3.2,-2.7,10.1
2014-11-16,202,5.2,-0.5,12.7
2014-11-17,202,5.4,0.2,10.6
2014-11-18,202,2.5,-1.9,11.1
2014-11-19,202,2.3,-4.2,11.7
2014-11-20,202,3.8,-2.6,12.5
2014-11-21,202,7,-0.6,14.2
2014-11-22,202,7.8,6.5,9.4
2014-11-23,202,7.2,4.7,10.7
2014-11-24,202,7.6,5.4,10.5
2014-11-25,202,9.4,2.9,14.3
2014-11-26,202,8.6,3.7,15.5
2014-11-27,202,7.3,2.9,13.7
2014-11-28,202,6.9,2.2,9.4
2014-11-29,202,6.8,3.6,10.4
2014-11-30,202,7.7,3.8,10
2014-12-01,202,0.1,-5.9,9.3
2014-12-02,202,-5.3,-8,-1.6
2014-12-03,202,-3.1,-6.8,-0.8
2014-12-04,202,-3.1,-7.6,0.7
2014-12-05,202,-5.5,-9.3,-1.1
2014-12-06,202,-4.9,-10.9,0.1
2014-12-07,202,-4.4,-8.6,-0.5
2014-12-08,202,-1,-6,4.3
2014-12-09,202,-3.7,-10.2,3
2014-12-10,202,-0.7,-5.4,3.8
2014-12-11,202,-0.4,-4.4,2
2014-12-12,202,-3.2,-8.1,1.3
2014-12-13,202,-3.9,-6.2,-0.6
2014-12-14,202,-4.5,-11,0.1
2014-12-15,202,0.1,-1.7,2.5
2014-12-16,202,-4,-8.7,1.5
2014-12-17,202,-8.2,-10,-5
2014-12-18,202,-9.2,-13.8,-3.1
2014-12-19,202,-6.6,-13.1,-2
2014-12-20,202,-2,-5.8,1.6
2014-12-21,202,-7.8,-14.1,-1.5
2014-12-22,202,-8.3,-14.5,-2
2014-12-23,202,-5.1,-12.3,0.5
2014-12-24,202,1.1,-1.5,6.8
2014-12-25,202,-1.7,-7,2.6
2014-12-26,202,-5.2,-12.1,1.6
2014-12-27,202,-4.8,-10.6,3.6
2014-12-28,202,-3.5,-9.8,1
2014-12-29,202,0.1,-2.8,4.3
2014-12-30,202,-0.9,-4.3,6.6
2014-12-31,202,-1.8,-5.6,3.1
2015-01-01,202,-6.9,-9.1,-3.9
2015-01-02,202,-6.1,-11.6,-1
2015-01-03,202,-5.8,-13.5,0
2015-01-04,202,-0.1,-3.8,5.5
2015-01-05,202,0.7,-4.9,6.7
2015-01-06,202,-1.1,-6.3,2.6
2015-01-07,202,-5.3,-9.2,-0.1
2015-01-08,202,-6.6,-12.8,0.9
2015-01-09,202,-4.7,-11.5,3.5
2015-01-10,202,-2.1,-9.5,5.5
2015-01-11,202,0.3,-2.5,3.6
2015-01-12,202,-3.5,-9.3,3.7
2015-01-13,202,-2.4,-9.3,5.8
2015-01-14,202,1.1,-2.6,5.4
2015-01-15,202,2.5,-1.9,10.3
2015-01-16,202,-0.2,-3.9,3.7
2015-01-17,202,-3.3,-7.2,0.8
2015-01-18,202,-3.4,-10.6,1.5
2015-01-19,202,1,-4.7,4.9
2015-01-20,202,-2.2,-9.2,4.8
2015-01-21,202,1.1,-3.3,6.4
2015-01-22,202,2.1,-1.8,8.4
2015-01-23,202,-0.8,-4.6,3.5
2015-01-24,202,1.5,-2.2,6.5
2015-01-25,202,1.2,-2.2,4.4
2015-01-26,202,3.9,1.8,6.9
2015-01-27,202,-0.9,-5.3,2.3
2015-01-28,202,-3.4,-8.3,3.8
2015-01-29,202,-1,-5.8,3.8
2015-01-30,202,-1.1,-5,1.9
2015-01-31,202,-3.7,-10,2.2
2015-02-01,202,-3.6,-10,4.4
2015-02-02,202,-2.6,-8.1,6
2015-02-03,202,-1.3,-7.4,7.4
2015-02-04,202,-0.8,-6.8,6
2015-02-05,202,-0.7,-6.2,6.3
2015-02-06,202,-1,-6.7,6.9
2015-02-07,202,0.1,-5.2,5.4
2015-02-08,202,-7.8,-10.7,1
2015-02-09,202,-4.8,-11.7,0.7
2015-02-10,202,1.2,-3,6.9
2015-02-11,202,2.5,-1.6,8.5
2015-02-12,202,-1.3,-5.8,2.9
2015-02-13,202,-1.1,-6.1,4.3
2015-02-14,202,-1.4,-7,1.9
2015-02-15,202,6.5,-0.9,13.6
2015-02-16,202,4.6,3.4,8.4
2015-02-17,202,2.9,0.1,5.4
2015-02-18,202,1.2,-1.6,3.4
2015-02-19,202,0.1,-3.8,6.7
2015-02-20,202,3,-4.1,10
2015-02-21,202,5,2.6,7.6
2015-02-22,202,4.7,0.9,7.9
2015-02-23,202,1.8,-1.2,6.4
2015-02-24,202,1.7,-3,8
2015-02-25,202,5,-1.9,12
2015-02-26,202,2.4,-3,7
2015-02-27,202,-0.8,-4.6,4.1
2015-02-28,202,1.5,-4.4,6.4
2015-03-01,202,3.3,0.9,6.9
2015-03-02,202,2.7,-4.4,10.3
2015-03-03,202,3.1,0.3,8.8
2015-03-04,202,-1,-3.6,2.6
2015-03-05,202,-1,-7.5,5.6
2015-03-06,202,1.9,-6.2,10.6
2015-03-07,202,3.8,-5.2,12.3
2015-03-08,202,6.7,-3.3,15.2
2015-03-09,202,3.5,-4.2,8.7
2015-03-10,202,-2.4,-6.2,1.4
2015-03-11,202,0.3,-7.3,7.4
2015-03-12,202,1.6,-5.9,7.7
2015-03-13,202,5.1,-0.6,11.4
2015-03-14,202,3.9,-3.5,11.4
2015-03-15,202,4.7,-3.3,13.9
2015-03-16,202,7.6,-2.1,18.3
2015-03-17,202,9.2,1.3,17.3
2015-03-18,202,8.9,5.4,14
2015-03-19,202,12.4,3.6,20.8
2015-03-20,202,12.4,4.7,22.2
2015-03-21,202,10.8,2.4,19.3
2015-03-22,202,8.5,1.5,16
2015-03-23,202,5.6,-0.8,10.9
2015-03-24,202,5.1,-3.5,13.1
2015-03-25,202,6.2,-3.3,15
2015-03-26,202,8.1,-2.1,16.8
2015-03-27,202,8.6,-0.5,17.9
2015-03-28,202,9.6,-1.5,18.7
2015-03-29,202,11.8,6.3,18.3
2015-03-30,202,13.1,3.6,22.8
2015-03-31,202,11.8,7.4,15.1
2015-04-01,202,12.5,9.7,16.4
2015-04-02,202,14.2,7.2,20.4
2015-04-03,202,11.8,9.4,19.1
2015-04-04,202,13.3,8.8,18.9
2015-04-05,202,9.8,8.4,11.6
2015-04-06,202,11.3,7.9,17.3
2015-04-07,202,8.3,6.6,11.4
2015-04-08,202,8.8,5,13.3
2015-04-09,202,9.4,3.5,15.6
2015-04-10,202,11.4,1.8,20.2
2015-04-11,202,12.8,3,21.6
2015-04-12,202,13.5,5.5,20.6
2015-04-13,202,11.7,7.5,17.2
2015-04-14,202,6.7,6.1,7.7
2015-04-15,202,10.8,4.9,19
2015-04-16,202,9.1,5.2,15.3
2015-04-17,202,9.7,1.9,18.7
2015-04-18,202,13.3,1.5,22.9
2015-04-19,202,13.3,11.6,15.7
2015-04-20,202,11.5,6.6,15.3
2015-04-21,202,12,3,22.5
2015-04-22,202,13.4,5.5,21.1
2015-04-23,202,13.6,4.4,22.8
2015-04-24,202,16,8.3,23.9
2015-04-25,202,15.2,5.1,24.8
2015-04-26,202,16.9,5.7,26.9
2015-04-27,202,18.4,10.1,27.5
2015-04-28,202,18.9,8.6,26.1
2015-04-29,202,16.5,14.9,19
2015-04-30,202,20,12.6,27.2
2015-05-01,202,21.1,13.3,28.7
2015-05-02,202,20.8,14.5,26.6
2015-05-03,202,18.3,17.3,19.8
2015-05-04,202,17.2,11.1,21.4
2015-05-05,202,13.4,4.8,22.1
2015-05-06,202,14.2,5.8,21.9
2015-05-07,202,16.5,7.9,25.3
2015-05-08,202,16.4,7.4,23
2015-05-09,202,19.2,13.9,24.6
2015-05-10,202,19.3,13.7,26.4
2015-05-11,202,17.8,11.5,23.8
2015-05-12,202,14.8,11.2,18.8
2015-05-13,202,18.3,10.3,24.9
2015-05-14,202,20.8,11.1,28.9
2015-05-15,202,20.5,16.1,24.2
2015-05-16,202,18.3,10.5,26.6
2015-05-17,202,17.1,8.3,26.5
2015-05-18,202,17.2,10.8,23.8
2015-05-19,202,16.3,12.3,19.8
2015-05-20,202,16.3,10.9,23.2
2015-05-21,202,18.2,8.9,27.8
2015-05-22,202,19.7,11.2,28.7
2015-05-23,202,20.2,10.5,28.5
2015-05-24,202,20.6,10.5,29.8
2015-05-25,202,20.7,11.1,30.6
2015-05-26,202,21.1,11.8,31.4
2015-05-27,202,22.4,10.8,32
2015-05-28,202,23.4,14.2,32.2
2015-05-29,202,23.4,15.4,31
2015-05-30,202,20,17.1,23.8
2015-05-31,202,20.9,14.5,29.1
2015-06-01,202,21.4,12.9,29.2
2015-06-02,202,23.3,16.6,30.5
2015-06-03,202,23.3,18.1,29.1
2015-06-04,202,22.4,12.6,31.5
2015-06-05,202,17.3,13.9,21.1
2015-06-06,202,19.6,12.2,26.7
2015-06-07,202,22.7,15.4,29.7
2015-06-08,202,21.8,16.6,26.3
2015-06-09,202,23,16.7,30
2015-06-10,202,24.9,15.9,33.8
2015-06-11,202,24,18.2,29.9
2015-06-12,202,24.6,20.6,30.5
2015-06-13,202,24,19.2,31
2015-06-14,202,23,17.5,28.7
2015-06-15,202,24.7,18.1,31.8
2015-06-16,202,23.8,20,32.7
2015-06-17,202,23.7,18.7,30.3
2015-06-18,202,24.1,19.5,30.6
2015-06-19,202,24.2,19.1,29.7
2015-06-20,202,19.4,17.1,22.9
2015-06-21,202,22.6,15.5,29.3
2015-06-22,202,24.4,17.7,30.9
2015-06-23,202,25.1,19.2,31.4
2015-06-24,202,24.8,20,31.1
2015-06-25,202,23.6,20.5,27.6
2015-06-26,202,21.8,18.7,25
2015-06-27,202,24.1,20.5,29.9
2015-06-28,202,25.2,18.2,32.2
2015-06-29,202,25.5,19.5,31.7
2015-06-30,202,24.1,20.5,29.3
2015-07-01,202,23.9,20.5,29.2
2015-07-02,202,23.8,18.6,29.6
2015-07-03,202,22.3,17.2,28.8
2015-07-04,202,22.6,14.7,29.5
2015-07-05,202,23.5,18.3,30
2015-07-06,202,24.7,17.9,31.6
2015-07-07,202,22.7,19.8,26.9
2015-07-08,202,22.8,19.1,25.4
2015-07-09,202,25.4,21.7,30.1
2015-07-10,202,27,21,32.9
2015-07-11,202,29,22.6,34.7
2015-07-12,202,25.2,23.7,27.6
2015-07-13,202,24,22.3,25.8
2015-07-14,202,26.1,22.4,32.6
2015-07-15,202,26.5,21,33.7
2015-07-16,202,23.8,20.2,27.7
2015-07-17,202,23,17.7,27.6
2015-07-18,202,24.1,20.8,28.5
2015-07-19,202,24.4,21.3,28.6
2015-07-20,202,26.2,22.4,30.3
2015-07-21,202,26.3,23.9,30.1
2015-07-22,202,28,24.7,33.1
2015-07-23,202,26.9,25,31.9
2015-07-24,202,24.8,24.3,25.6
2015-07-25,202,25.4,23.3,28.1
2015-07-26,202,27.7,24.1,32.4
2015-07-27,202,26.3,24.4,30.2
2015-07-28,202,27.7,24.1,32.9
2015-07-29,202,25.7,24.4,27.6
2015-07-30,202,29,24.8,34.5
2015-07-31,202,28.7,25.5,34
2015-08-01,202,28.2,24.1,33.6
2015-08-02,202,26,23.5,29.1
2015-08-03,202,27.8,24.7,32.1
2015-08-04,202,27.6,22.6,32.6
2015-08-05,202,28.5,25.4,33.6
2015-08-06,202,29.3,24.5,35.1
2015-08-07,202,29.1,24.5,36.1
2015-08-08,202,26,23.4,33.8
2015-08-09,202,27.2,23.1,32.1
2015-08-10,202,26.7,23.9,31.6
2015-08-11,202,25.9,22,29.6
2015-08-12,202,27.1,21.8,33
2015-08-13,202,24.8,22,31.6
2015-08-14,202,26,21.8,30.9
2015-08-15,202,26.5,21.2,32
2015-08-16,202,25.2,20.9,31.3
2015-08-17,202,25.2,20,33
2015-08-18,202,26.5,21.3,32.4
2015-08-19,202,25.4,22.1,29.8
2015-08-20,202,24.1,22.6,28.2
2015-08-21,202,24.8,22.1,29.1
2015-08-22,202,23.6,20.5,28.2
2015-08-23,202,24.7,20.5,30.8
2015-08-24,202,25.5,20.6,31
2015-08-25,202,22.9,20,25.6
2015-08-26,202,22.5,19.9,27.2
2015-08-27,202,23.8,17.7,29.9
2015-08-28,202,20.9,15.3,28.5
2015-08-29,202,22.6,18.5,29.8
2015-08-30,202,23.3,17.2,30.8
2015-08-31,202,24.5,18.5,30.7
2015-09-01,202,24.7,21.3,29.5
2015-09-02,202,22.1,19.6,28.1
2015-09-03,202,22.8,19.3,28.7
2015-09-04,202,23.9,19.3,29.2
2015-09-05,202,22,20.6,25.4
2015-09-06,202,21.5,17.6,25.6
2015-09-07,202,21.1,14.2,28.1
2015-09-08,202,20.1,12.6,28.3
2015-09-09,202,20.5,11.8,28.4
2015-09-10,202,21,13.7,28.5
2015-09-11,202,20,16.4,25.1
2015-09-12,202,18.2,15.5,22.7
2015-09-13,202,18.1,12,25.4
2015-09-14,202,19.4,11.9,27.2
2015-09-15,202,20.2,13.7,27.7
2015-09-16,202,19.2,11.7,25.4
2015-09-17,202,19.9,14.5,25.9
2015-09-18,202,19.8,12.5,27.5
2015-09-19,202,20.3,14.1,28.3
2015-09-20,202,19.8,13.7,27.8
2015-09-21,202,20,14.3,28.1
2015-09-22,202,20.3,13.8,28.9
2015-09-23,202,18.7,14.4,23.6
2015-09-24,202,20.8,14.6,28.7
2015-09-25,202,20.5,15.2,28.2
2015-09-26,202,19.1,14.4,27.4
2015-09-27,202,18.7,12,28.6
2015-09-28,202,18.9,10.5,28.2
2015-09-29,202,20.4,12.6,27.5
2015-09-30,202,19.7,16.4,24.8
2015-10-01,202,16,12.1,20
2015-10-02,202,14.8,5.3,22.5
2015-10-03,202,18.2,13.9,25.4
2015-10-04,202,14.8,8.7,22.1
2015-10-05,202,15.2,7.9,25
2015-10-06,202,15.6,8.7,25.5
2015-10-07,202,17.2,9.7,25.5
2015-10-08,202,18,12.3,25.9
2015-10-09,202,15.2,8.2,20.6
2015-10-10,202,10.9,6.1,14.3
2015-10-11,202,9.4,5.8,14.9
2015-10-12,202,11.5,6.9,17.9
2015-10-13,202,12.5,3.4,21.6
2015-10-14,202,14.3,9.4,23.1
2015-10-15,202,14.7,8.9,24.6
2015-10-16,202,15.6,9.3,24.7
2015-10-17,202,15.4,9.9,26.3
2015-10-18,202,14.7,9,23.9
2015-10-19,202,15.3,10.2,23.3
2015-10-20,202,16.3,10.7,25
2015-10-21,202,16.1,11.2,23.4
2015-10-22,202,16.1,11.5,22.4
2015-10-23,202,15.6,12.1,20
2015-10-24,202,15.5,10,22.6
2015-10-25,202,13.3,7.6,21.9
2015-10-26,202,13.2,7,18.9
2015-10-27,202,12.7,6.6,17.3
2015-10-28,202,9.6,2.2,16.7
2015-10-29,202,7.9,0.4,14.9
2015-10-30,202,5.5,-0.2,10.6
2015-10-31,202,4.4,-2.6,12.5
2015-11-01,202,4.9,-2.2,11.5
2015-11-02,202,9.2,4,15.5
2015-11-03,202,8.2,3,18.1
2015-11-04,202,8.3,2.9,18.1
2015-11-05,202,10.5,4.6,19.4
2015-11-06,202,12.1,5.2,19.5
2015-11-07,202,12.1,10.2,14
2015-11-08,202,12.2,10.7,13.8
2015-11-09,202,11.7,10.2,14.5
2015-11-10,202,10.8,7.4,15.4
2015-11-11,202,10.5,6.7,17.2
2015-11-12,202,11.1,5.4,18.4
2015-11-13,202,10.5,8.4,11.7
2015-11-14,202,12.5,10.8,14.7
2015-11-15,202,13.7,9.5,19.9
2015-11-16,202,10.8,7.5,13.9
2015-11-17,202,14.1,11.6,20.2
2015-11-18,202,11.5,9.2,14.4
2015-11-19,202,9.2,6.9,11.3
2015-11-20,202,9.8,7.2,14.9
2015-11-21,202,8.9,4,15
2015-11-22,202,10.5,4.9,16
2015-11-23,202,9,7.7,10.6
2015-11-24,202,7.7,4.7,10.8
2015-11-25,202,3.4,2.6,6.1
2015-11-26,202,-1.1,-2.9,2.6
2015-11-27,202,-2,-5.9,2.5
2015-11-28,202,0,-3.2,2
2015-11-29,202,2,0.1,3.3
2015-11-30,202,3.9,-1.4,9.6
2015-12-01,202,1.5,-3.2,9.9
2015-12-02,202,4.6,0.1,8.4
2015-12-03,202,0.1,-2.1,3.9
2015-12-04,202,-0.1,-3.3,2.9
2015-12-05,202,3.1,-0.3,8.1
2015-12-06,202,0.9,-2.5,6.7
2015-12-07,202,0.6,-5.1,7.8
2015-12-08,202,1.1,-2.8,8.5
2015-12-09,202,1.7,-4,9.4
2015-12-10,202,5.6,1.7,8.1
2015-12-11,202,7.5,1.4,12
2015-12-12,202,2.4,-2.9,10.3
2015-12-13,202,3.3,-1.3,12
2015-12-14,202,3.8,-0.6,5.9
2015-12-15,202,5.8,3.1,8.4
2015-12-16,202,0.7,-3.7,3.9
2015-12-17,202,-4.1,-7.3,0.1
2015-12-18,202,-4.8,-10.1,-1.1
2015-12-19,202,-2.4,-7.2,5.2
2015-12-20,202,-1.4,-6.5,3.4
2015-12-21,202,0.9,-0.4,2.7
2015-12-22,202,2.5,-1.5,7.4
2015-12-23,202,3.8,1.9,8.2
2015-12-24,202,1.8,-1.2,5.5
2015-12-25,202,-0.3,-3.3,4.4
2015-12-26,202,1.4,-1.7,6.4
2015-12-27,202,-3.3,-6,1.4
2015-12-28,202,-5.5,-9.4,-0.3
2015-12-29,202,-6.2,-12.1,1.4
2015-12-30,202,-1.7,-8.9,4.5
2015-12-31,202,0.9,-3.4,5.1

